Date,Open,High,Low,Close,Adj Close,Volume
2020-12-14,56.799999,56.919998,56.060001,56.169998,54.045769,2127100
2020-12-15,56.419998,56.820000,56.320000,56.650002,54.507626,612000
2020-12-16,56.660000,56.700001,56.150002,56.529999,54.392155,848800
2020-12-17,56.709999,56.799999,56.340000,56.549999,54.411400,715000
2020-12-18,56.540001,56.590000,55.840000,56.130001,54.007286,1187800
2020-12-21,55.250000,55.810001,55.020000,55.630001,53.526196,1344000
2020-12-22,55.509998,55.770000,54.740002,55.000000,52.920021,959200
2020-12-23,55.270000,55.840000,55.270000,55.720001,53.612789,1025500
2020-12-24,56.040001,56.130001,55.680000,56.080002,53.959171,481600
2020-12-28,56.320000,56.869999,55.950001,56.040001,53.920692,534400
2020-12-29,56.230000,56.599998,56.160000,56.290001,54.161236,996700
2020-12-30,56.549999,56.880001,56.419998,56.430000,54.295937,852700
2020-12-31,56.470001,56.900002,56.299999,56.419998,54.286312,1305900
2021-01-04,56.770000,56.860001,56.020000,56.259998,54.132366,1877000
2021-01-05,56.349998,57.240002,56.259998,57.029999,54.873249,3754100
2021-01-06,57.360001,59.020000,57.130001,58.750000,56.528198,2981600
2021-01-07,58.290001,58.580002,57.970001,58.470001,56.861767,4588600
2021-01-08,58.540001,58.880001,57.990002,58.320000,56.715889,1234400
2021-01-11,57.520000,58.389999,57.389999,58.160000,56.560295,1052800
2021-01-12,58.299999,59.070000,58.230000,58.869999,57.250763,1203900
2021-01-13,58.799999,58.950001,58.599998,58.730000,57.114613,1807300
2021-01-14,58.709999,59.970001,58.639999,59.810001,58.164913,1389300
2021-01-15,59.200001,59.369999,58.830002,59.259998,57.630039,1985900
2021-01-19,59.470001,59.689999,58.790001,58.869999,57.250763,1479400
2021-01-20,59.189999,59.330002,58.869999,59.189999,57.561962,1025400
2021-01-21,59.250000,59.360001,58.770000,58.959999,57.338291,1039100
2021-01-22,58.310001,58.509998,57.790001,57.799999,56.210194,1068500
2021-01-25,57.410000,57.799999,57.200001,57.660000,56.074047,1078600
2021-01-26,58.029999,58.230000,57.680000,58.110001,56.511669,985600
2021-01-27,57.299999,57.330002,56.799999,56.990002,55.422478,1839100
2021-01-28,57.049999,58.040001,56.639999,57.650002,56.064323,1675300
2021-01-29,57.250000,57.619999,56.369999,56.590000,55.033478,2678200
2021-02-01,56.849998,56.990002,56.480000,56.560001,55.004303,1506200
2021-02-02,57.049999,57.939999,57.049999,57.759998,56.171295,1528100
2021-02-03,57.799999,58.060001,57.619999,58.029999,56.433868,997600
2021-02-04,58.060001,58.419998,58.040001,58.240002,56.638096,1860300
2021-02-05,58.700001,58.700001,58.189999,58.439999,56.832592,744300
2021-02-08,58.610001,59.000000,58.560001,58.970001,57.348011,770000
2021-02-09,58.959999,59.119999,58.599998,59.110001,57.484165,2010100
2021-02-10,59.139999,59.189999,58.730000,59.009998,57.386913,1046200
2021-02-11,59.009998,59.389999,58.919998,59.200001,57.571690,950000
2021-02-12,58.970001,59.560001,58.970001,59.389999,57.756462,1017600
2021-02-16,59.650002,59.790001,59.490002,59.610001,57.970413,1419100
2021-02-17,59.080002,59.630001,58.910000,59.490002,57.853710,1267100
2021-02-18,59.419998,59.680000,59.070000,59.500000,57.863438,1075700
2021-02-19,59.869999,60.770000,59.700001,60.540001,58.874832,1574100
2021-02-22,60.320000,61.189999,60.259998,60.950001,59.273556,1244600
2021-02-23,61.410000,62.160000,60.820000,62.000000,60.294674,2626000
2021-02-24,62.169998,63.779999,62.099998,63.610001,61.860390,2700800
2021-02-25,63.400002,63.580002,61.400002,62.020000,60.314125,4807300
2021-02-26,61.540001,62.130001,60.360001,60.369999,58.709503,2854900
2021-03-01,61.439999,62.090000,61.310001,61.450001,59.759804,3825200
2021-03-02,61.590000,62.540001,61.509998,62.169998,60.459999,1860200
2021-03-03,62.459999,62.840000,62.220001,62.410000,60.693398,1803200
2021-03-04,62.439999,62.779999,61.480000,61.930000,60.226597,3572600
2021-03-05,62.400002,62.840000,61.810001,62.820000,61.092121,3105600
2021-03-08,62.980000,64.089996,62.820000,63.750000,61.996540,2149100
2021-03-09,63.849998,64.400002,63.650002,63.950001,62.191036,2272800
2021-03-10,64.260002,64.629997,64.099998,64.309998,62.541134,2043000
2021-03-11,64.330002,65.040001,64.209999,64.889999,63.105179,1315200
2021-03-12,65.139999,65.500000,64.959999,65.480003,63.678959,2921400
2021-03-15,65.480003,65.820000,65.029999,65.790001,63.980431,2130900
2021-03-16,65.699997,66.239998,65.559998,66.019997,64.204102,2832000
2021-03-17,66.150002,66.570000,65.970001,66.279999,64.456947,1503100
2021-03-18,66.500000,67.230003,66.129997,66.309998,64.486130,1971100
2021-03-19,66.230003,66.230003,65.279999,65.820000,64.009605,1890800
2021-03-22,65.720001,65.849998,65.129997,65.580002,63.776207,1836200
2021-03-23,65.339996,65.660004,64.820000,64.930000,63.144085,1388300
2021-03-24,64.940002,65.580002,64.889999,64.910004,63.124638,1589500
2021-03-25,64.870003,65.250000,64.620003,65.089996,63.299679,1909600
2021-03-26,65.540001,65.949997,65.449997,65.930000,64.116577,1304700
2021-03-29,65.500000,65.839996,65.250000,65.540001,63.737312,1190900
2021-03-30,65.570000,65.660004,65.300003,65.440002,63.640060,1567500
2021-03-31,65.370003,65.800003,65.070000,65.209999,63.416378,1934800
2021-04-01,65.190002,65.750000,65.070000,65.739998,63.931808,1250300
2021-04-05,65.980003,66.779999,65.980003,66.660004,64.826500,1400400
2021-04-06,66.589996,66.760002,66.209999,66.360001,64.534752,1468800
2021-04-07,66.239998,66.440002,66.120003,66.330002,64.505577,3134600
2021-04-08,65.680000,65.800003,65.139999,65.720001,64.521286,3265100
2021-04-09,65.699997,66.160004,65.529999,66.150002,64.943451,1225200
2021-04-12,66.180000,66.730003,65.820000,66.519997,65.306694,1316000
2021-04-13,66.379997,66.550003,66.080002,66.320000,65.110344,1592600
2021-04-14,66.230003,66.529999,66.099998,66.269997,65.061249,2651800
2021-04-15,66.440002,66.519997,65.639999,65.930000,64.727455,1279300
2021-04-16,66.250000,66.410004,66.000000,66.239998,65.031799,2599300
2021-04-19,66.349998,66.540001,65.529999,65.680000,64.482010,1667600
2021-04-20,65.449997,65.610001,64.739998,64.959999,63.775143,3019600
2021-04-21,64.809998,66.220001,64.680000,66.220001,65.012169,1153000
