Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,79.339996,79.779999,79.180000,79.699997,75.400330,758100
2020-01-03,79.120003,79.660004,79.029999,79.419998,75.135437,543200
2020-01-06,79.290001,79.610001,79.110001,79.589996,75.296272,1304500
2020-01-07,79.510002,79.660004,79.230003,79.370003,75.088142,969300
2020-01-08,79.309998,80.220001,79.220001,79.849998,75.542236,809000
2020-01-09,80.000000,80.089996,79.699997,79.839996,75.532784,573200
2020-01-10,79.970001,80.139999,79.620003,79.849998,75.542236,607700
2020-01-13,79.970001,80.239998,79.690002,80.230003,75.901749,1211900
2020-01-14,80.230003,80.629997,80.059998,80.459999,76.119339,2603000
2020-01-15,80.500000,80.800003,80.300003,80.709999,76.355850,1794600
2020-01-16,81.000000,81.680000,80.879997,81.430000,77.037010,1418400
2020-01-17,81.570000,81.730003,81.360001,81.519997,77.122154,884200
2020-01-21,82.080002,82.080002,81.589996,81.669998,77.264053,785700
2020-01-22,81.900002,81.900002,81.220001,81.269997,76.885635,652600
2020-01-23,81.010002,81.730003,80.809998,81.730003,77.320816,1030700
2020-01-24,80.949997,81.169998,80.239998,80.480003,76.890900,962300
2020-01-27,79.379997,80.169998,79.099998,79.889999,76.327202,969200
2020-01-28,80.000000,80.440002,79.839996,80.339996,76.757126,718800
2020-01-29,80.260002,80.500000,80.050003,80.110001,76.537392,1386600
2020-01-30,79.570000,80.160004,79.410004,80.099998,76.527832,744900
2020-01-31,79.419998,79.580002,78.860001,78.959999,75.438675,906000
2020-02-03,79.190002,79.489998,78.769997,78.779999,75.266708,587100
2020-02-04,79.570000,80.199997,79.570000,80.129997,76.556496,757000
2020-02-05,80.500000,80.660004,80.239998,80.470001,76.881340,860800
2020-02-06,80.750000,80.949997,80.519997,80.919998,77.311264,1042300
2020-02-07,80.489998,80.820000,80.370003,80.650002,77.053314,585300
2020-02-10,80.459999,80.699997,80.279999,80.660004,77.062874,460900
2020-02-11,81.000000,81.230003,80.820000,81.139999,77.521454,486800
2020-02-12,81.400002,81.550003,81.160004,81.529999,77.894066,578300
2020-02-13,81.239998,81.750000,81.129997,81.610001,77.970497,514600
2020-02-14,81.720001,81.989998,81.459999,81.709999,78.066040,633700
2020-02-18,81.360001,81.529999,81.000000,81.400002,77.769859,613600
2020-02-19,81.730003,81.730003,81.300003,81.519997,77.884506,491300
2020-02-20,81.410004,81.720001,81.230003,81.400002,77.769859,922000
2020-02-21,82.019997,82.739998,81.919998,82.620003,78.935463,1294200
2020-02-24,80.870003,81.709999,80.440002,81.410004,77.779411,1219100
2020-02-25,81.470001,81.470001,79.639999,79.790001,76.231667,1888600
2020-02-26,80.120003,80.440002,78.070000,78.089996,74.607475,1587800
2020-02-27,77.050003,77.239998,75.599998,75.989998,72.601128,3327800
2020-02-28,74.169998,75.040001,73.330002,74.470001,71.148918,3452600
2020-03-02,74.410004,76.809998,73.980003,76.739998,73.317680,2726400
2020-03-03,77.099998,77.529999,75.099998,75.199997,71.846359,2811400
2020-03-04,76.370003,76.720001,74.930000,75.610001,72.238075,2573800
2020-03-05,74.320000,74.720001,73.769997,74.309998,70.996048,2158700
2020-03-06,72.779999,73.500000,72.169998,72.690002,69.448296,3054300
2020-03-09,67.120003,69.250000,65.220001,65.410004,62.492962,2899600
2020-03-10,67.570000,67.989998,65.019997,67.279999,64.279556,2150300
2020-03-11,65.860001,66.209999,63.790001,63.910000,61.059849,3020700
2020-03-12,59.509998,59.509998,56.080002,57.180000,54.629986,2584100
2020-03-13,60.720001,65.050003,59.680000,64.720001,61.833729,2692100
2020-03-16,56.410000,61.720001,56.189999,59.889999,57.219124,1931600
2020-03-17,60.439999,65.199997,59.240002,62.430000,59.645855,2087500
2020-03-18,59.020000,59.849998,53.889999,55.930000,53.435730,2647800
2020-03-19,54.840000,56.880001,53.639999,56.630001,54.104511,1726700
2020-03-20,57.770000,58.970001,54.349998,54.509998,52.079056,2844400
2020-03-23,53.660000,54.270000,49.549999,49.610001,47.397579,3623900
2020-03-24,53.060001,56.419998,52.000000,56.360001,53.846554,3120800
2020-03-25,57.500000,62.709999,56.730000,59.680000,57.018494,3389000
2020-03-26,60.459999,63.520000,60.290001,61.459999,58.719109,2873100
2020-03-27,59.250000,60.509998,57.810001,58.980000,56.349712,2286700
2020-03-30,58.759998,59.959999,56.840000,59.840000,57.171360,1829500
2020-03-31,59.250000,62.119999,58.709999,61.549999,58.805099,1721400
2020-04-01,59.110001,59.730000,58.240002,58.500000,55.891121,1847200
2020-04-02,58.139999,60.779999,58.139999,58.990002,56.359268,1352000
